SCTG,BEA_2012_Detail_Code,BEA_2012_Summary_Code
3,1111A0,111CA
2,1111B0,111CA
3,111200,111CA
3,111300,111CA
3,111400,111CA
3,111900,111CA
6,112120,111CA
1,1121A0,111CA
4,112300,111CA
5,112300,111CA
1,112A00,111CA
25,113000,113FF
1,114000,113FF
16,211000,211
15,212100,212
14,212230,212
14,2122A0,212
10,212310,212
11,212310,212
12,212310,212
13,2123A0,212
4,311111,311FT
4,311119,311FT
6,311210,311FT
6,311221,311FT
7,311225,311FT
6,311230,311FT
7,311300,311FT
7,311410,311FT
7,311420,311FT
7,311513,311FT
7,311514,311FT
7,31151A,311FT
7,311520,311FT
5,311615,311FT
5,31161A,311FT
5,311700,311FT
6,311810,311FT
6,3118A0,311FT
7,311910,311FT
7,311920,311FT
7,311930,311FT
7,311940,311FT
7,311990,311FT
7,312110,311FT
8,312120,311FT
8,312130,311FT
8,312140,311FT
9,312200,311FT
30,313100,313TT
30,313200,313TT
30,313300,313TT
30,314110,313TT
30,314120,313TT
30,314900,313TT
30,315000,315AL
30,316000,315AL
26,321100,321
26,321200,321
26,321910,321
26,3219A0,321
27,322110,322
27,322120,322
27,322130,322
28,322210,322
28,322220,322
28,322230,322
28,322291,322
28,322299,322
17,324110,324
18,324110,324
17,324121,324
17,324122,324
19,324190,324
20,325110,325
20,325120,325
20,325130,325
20,325180,325
20,325190,325
24,325211,325
24,3252A0,325
22,325310,325
23,325320,325
21,325411,325
21,325412,325
21,325413,325
21,325414,325
23,325510,325
23,325520,325
23,325610,325
23,325620,325
23,325910,325
23,3259A0,325
24,326110,326
24,326120,326
24,326130,326
24,326140,326
24,326150,326
24,326160,326
24,326190,326
24,326210,326
24,326220,326
24,326290,326
31,327100,327
31,327200,327
31,327310,327
31,327320,327
31,327330,327
31,327390,327
31,327400,327
31,327910,327
31,327991,327
31,327992,327
31,327993,327
31,327999,327
32,331110,331
32,331200,331
32,331313,331
32,331314,331
32,33131B,331
32,331410,331
32,331420,331
32,331490,331
32,331510,331
32,331520,331
33,332114,332
33,33211A,332
33,332200,332
33,332310,332
33,332320,332
33,332410,332
33,332420,332
33,332430,332
33,332500,332
33,332600,332
33,332710,332
33,332720,332
33,332800,332
33,332913,332
33,33291A,332
33,332991,332
33,332996,332
33,33299A,332
34,333111,333
34,333112,333
34,333120,333
34,333130,333
34,33329A,333
34,333314,333
34,333316,333
34,333318,333
34,333413,333
34,333414,333
34,333415,333
34,333511,333
34,333514,333
34,333517,333
34,33351B,333
34,333611,333
34,333612,333
34,333613,333
34,333618,333
34,333912,333
34,33391A,333
34,333920,333
34,333991,333
34,333993,333
34,333994,333
34,33399A,333
34,33399B,333
35,334111,334
35,334112,334
35,334118,334
35,334210,334
35,334220,334
35,334290,334
35,334300,334
35,334413,334
35,334418,334
35,33441A,334
38,334510,334
38,334511,334
38,334512,334
38,334513,334
38,334514,334
38,334515,334
38,334516,334
38,334517,334
38,33451A,334
38,334610,334
39,335110,335
39,335120,335
35,335210,335
35,335221,335
34,335222,335
34,335224,335
34,335228,335
35,335311,335
35,335312,335
35,335313,335
38,335314,335
35,335911,335
35,335912,335
35,335920,335
35,335930,335
35,335991,335
35,335999,335
36,336111,3361MV
36,336112,3361MV
36,336120,3361MV
36,336211,3361MV
36,336212,3361MV
36,336213,3361MV
36,336214,3361MV
34,336310,3361MV
35,336320,3361MV
34,336350,3361MV
36,336360,3361MV
36,336370,3361MV
36,336390,3361MV
36,3363A0,3361MV
37,336411,3364OT
34,336412,3364OT
37,336413,3364OT
37,336414,3364OT
40,336414,3364OT
37,33641A,3364OT
37,336500,3364OT
37,336611,3364OT
37,336612,3364OT
36,336991,3364OT
36,336992,3364OT
37,336999,3364OT
39,337110,337
39,337121,337
39,337122,337
39,337127,337
39,33712N,337
39,337215,337
39,33721A,337
39,337900,337
38,339112,339
38,339113,339
38,339114,339
38,339115,339
38,339116,339
40,339910,339
40,339920,339
40,339930,339
43,339940,339
39,339950,339
40,339990,339
29,511110,511
29,511120,511
29,511130,511
29,5111A0,511
41,562000,562
