State,CutValue
Alabama,3642173.22
Alaska,1878956.79
Arizona,782761.83
Arkansas,9466745.49
California,11148442.76
Colorado,1420615.66
Florida,1114286.47
Georgia,661161.15
Idaho,5612452.77
Illinois,1600
Indiana,154599.85
Kentucky,520929.62
Louisiana,7117750.01
Maine,139574.04
Michigan,10117542.28
Minnesota,3581244.55
Mississippi,4389443.09
Missouri,3716105.05
Montana,5355681.67
Nebraska,1710
Nevada,81642
New Hampshire,1352464.51
New Mexico,581609.43
New York,570
North Carolina,1372559.66
North Dakota,425
Ohio,197647.55
Oklahoma,334732.76
Oregon,29673925.02
Pennsylvania,6158209.37
South Carolina,8091408.91
South Dakota,1718369.62
Tennessee,246134.82
Texas,2152997.34
Utah,915731
Vermont,691434.43
Virginia,486277.27
Washington,9195046.38
West Virginia,847063.43
Wisconsin,4299031.23
Wyoming,1207305.33
United States,140428361.4
